id	name	abstract	data_type	default_task	attribute_type	n_instances	n_attrs	y	area	url
250	Daily and Sports Activities	The dataset comprises motion sensor data of 19 daily and sports activities each performed by 8 subjects in their own style for 5 minutes. Five Xsens MTx units are used on the torso, arms, and legs.	Multivariate, Time-Series	Classification, Clustering	Real	9120	5625	2013	Computer	http://archive.ics.uci.edu/ml/datasets/Daily+and+Sports+Activities
251	User Knowledge Modeling	It is the real dataset about the students' knowledge status about the subject of Electrical DC Machines. The dataset had been obtained from Ph.D. Thesis.	Multivariate	Classification, Clustering	Integer	403	5	2013	Computer	http://archive.ics.uci.edu/ml/datasets/User+Knowledge+Modeling
252	Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection	This test collection contains feature characteristics of documents originally written in five different languages and their translations, over a common set of 6 categories.	Multivariate	Classification	Real	111740		2013	Life	http://archive.ics.uci.edu/ml/datasets/Reuters+RCV1+RCV2+Multilingual%2C+Multiview+Text+Categorization+Test+collection
253	NYSK	NYSK (New York v. Strauss-Kahn) is a collection of English news articles about the case relating to allegations of sexual assault against the former IMF director Dominique Strauss-Kahn (May 2011).	Multivariate, Sequential, Text	Clustering		10421	7	2013	Social	http://archive.ics.uci.edu/ml/datasets/NYSK
254	Turkiye Student Evaluation	This data set contains a total 5820 evaluation scores provided by students from Gazi University in Ankara (Turkey). There is a total of 28 course specific questions and additional 5 attributes.	Multivariate	Classification, Clustering		5820	33	2013	Other	http://archive.ics.uci.edu/ml/datasets/Turkiye+Student+Evaluation
255	ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines)	The dataset is about the users' learning activities and knowledge levels on subjects of DC  Electrical Machines. The dataset had been obtained from online web-courses  and reported in my Ph.D. Thesis.	Multivariate	Classification	Real	403	5	2013	Computer	http://archive.ics.uci.edu/ml/datasets/ser+Knowledge+Modeling+Data+%28Students%27+Knowledge+Levels+on+DC+Electrical+Machines%29
256	EEG Eye State	The data set consists of 14 EEG values and a value indicating the eye state.	Multivariate, Sequential, Time-Series	Classification	Integer, Real	14980	15	2013	Life	http://archive.ics.uci.edu/ml/datasets/EEG+Eye+State
257	Physicochemical Properties of Protein Tertiary Structure	This is a data set of Physicochemical Properties of Protein Tertiary Structure. The data set is taken from CASP 5-9. There are 45730 decoys and size varying from 0 to 21 armstrong.	Multivariate	Regression	Real	45730	9	2013	Life	http://archive.ics.uci.edu/ml/datasets/Physicochemical+Properties+of+Protein+Tertiary+Structure
258	seismic-bumps	The data describe the problem of high energy (higher than 10^4 J) seismic bumps forecasting in a coal  mine. Data come from two of longwalls located in a Polish coal mine.	Multivariate	Classification	Real	2584	19	2013	Other	http://archive.ics.uci.edu/ml/datasets/seismic-bumps
259	banknote authentication	Data were extracted from images that were taken for the evaluation of an authentication procedure for banknotes.	Multivariate	Classification	Real	1372	5	2013	Computer	http://archive.ics.uci.edu/ml/datasets/banknote+authentication
260	USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat	Data used for USPTO Algorithm Competition. Contains drawing pages from US patents with manually labeled figure and part labels.	Domain-Theory	Classification	Integer	306	5	2013	Other	http://archive.ics.uci.edu/ml/datasets/USPTO+Algorithm+Challenge%2C+run+by+NASA-Harvard+Tournament+Lab+and+TopCoder++++Problem%3A+Pat
261	YouTube Multiview Video Games Dataset	This dataset contains about 120k instances, each described by 13 feature types, with class information, specially useful for exploring multiview topics (cotraining, ensembles, clustering,..).	Multivariate, Text	Classification, Clustering	Integer, Real	120000	1000000	2013	Computer	http://archive.ics.uci.edu/ml/datasets/YouTube+Multiview+Video+Games+Dataset
262	Gas Sensor Array Drift Dataset at Different Concentrations	This archive contains 13910 measurements from 16 chemical sensors exposed to 6 different gases at various concentration levels.	Multivariate, Time-Series	Classification, Regression, Clustering, Causa	Real	13910	129	2013	Computer	http://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations
263	Activities of Daily Living (ADLs) Recognition Using Binary Sensors	This dataset comprises information regarding the ADLs performed by two users on a daily basis in their  own homes.	Multivariate, Sequential, Time-Series	Classification, Clustering		2747		2013	Computer	http://archive.ics.uci.edu/ml/datasets/Activities+of+Daily+Living+%28ADLs%29+Recognition+Using+Binary+Sensors
264	SkillCraft1 Master Table Dataset	This data was used in Thompson et al. (2013). A list of possible game actions is discussed in Thompson, Blair, Chen, & Henrey (2013).	Multivariate	Regression	Integer, Real	3395	20	2013	Game	http://archive.ics.uci.edu/ml/datasets/SkillCraft1+Master+Table+Dataset
265	Weight Lifting Exercises monitored with Inertial Measurement Units	Six young health subjects were asked to perform 5 variations of the biceps curl weight lifting exercise. One of the variations is the one predicted by the health professional.	Multivariate	Classification	Real	39242	152	2013	Physical	http://archive.ics.uci.edu/ml/datasets/Weight+Lifting+Exercises+monitored+with+Inertial+Measurement+Units
266	SML2010	This dataset is collected from a monitor system mounted in a domotic house. It corresponds to approximately 40 days of monitoring data.	Multivariate, Sequential, Time-Series, Text	Regression	Real	4137	24	2014	Computer	http://archive.ics.uci.edu/ml/datasets/SML2010
267	Bike Sharing Dataset	This dataset contains the hourly and daily count of rental bikes between years 2011 and 2012 in Capital bikeshare system with the corresponding weather and seasonal information.	Univariate	Regression	Integer, Real	17389	16	2013	Social	http://archive.ics.uci.edu/ml/datasets/Bike+Sharing+Dataset
268	Predict keywords activities in a online social media	The data from Twitter was collected during 360 consecutive days. It was done by querying 1497 English keywords sampled from Wikipedia. This dataset is proposed in a Learning to rank setting.	Multivariate, Sequential, Time-Series		Integer, Real	51	35	2013	Computer	http://archive.ics.uci.edu/ml/datasets/Predict+keywords+activities+in+a+online+social+media
269	Thoracic Surgery Data	The data is dedicated to classification problem related to the post-operative life expectancy in the lung cancer patients: class 1 - death within one year after surgery, class 2 - survival.	Multivariate	Classification	Integer, Real	470	17	2013	Life	http://archive.ics.uci.edu/ml/datasets/Thoracic+Surgery+Data
270	EMG dataset in Lower Limb	3 different exercises: sitting, standing and walking in the muscles: biceps femoris, vastus medialis, rectus femoris and semitendinosus addition to goniometry in the exercises.	Multivariate, Time-Series		Real	132	5	2014	Computer	http://archive.ics.uci.edu/ml/datasets/EMG+dataset+in+Lower+Limb
271	SUSY	This is a classification problem to distinguish between a signal process which produces supersymmetric particles and a background process which does not.		Classification	Real	5000000	18	2014	Physical	http://archive.ics.uci.edu/ml/datasets/SUSY
272	HIGGS	This is a classification problem to distinguish between a signal process which produces Higgs bosons and a background process which does not.		Classification	Real	11000000	28	2014	Physical	http://archive.ics.uci.edu/ml/datasets/HIGGS
273	Qualitative_Bankruptcy	Predict the Bankruptcy from Qualitative parameters from experts.	Multivariate	Classification		250	7	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Qualitative_Bankruptcy
274	LSVT Voice Rehabilitation	126 samples from 14 participants, 309 features. Aim: assess whether voice rehabilitation treatment lead to phonations considered 'acceptable' or 'unacceptable' (binary class classification problem).	Multivariate	Classification	Real	126	309	2014	Life	http://archive.ics.uci.edu/ml/datasets/LSVT+Voice+Rehabilitation
275	Dataset for ADL Recognition with Wrist-worn Accelerometer	Recordings of 16 volunteers performing 14 Activities of Daily Living (ADL) while carrying a single wrist-worn tri-axial accelerometer.	Multivariate, Time-Series	Classification, Clustering			3	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Dataset+for+ADL+Recognition+with+Wrist-worn+Accelerometer
276	Wilt	High-resolution Remote Sensing data set (Quickbird). Small number of training samples of diseased trees, large number for other land cover. Testing data set from stratified random sample of image.	Multivariate	Classification		4889	6	2014	Life	http://archive.ics.uci.edu/ml/datasets/Wilt
277	User Identification From Walking Activity	The dataset collects data from an Android smartphone positioned in the chest pocket from 22 participants walking in the wild over a predefined path.	Univariate, Sequential, Time-Series	Classification, Clustering	Real			2014	Other	http://archive.ics.uci.edu/ml/datasets/User+Identification+From+Walking+Activity
278	Activity Recognition from Single Chest-Mounted Accelerometer	The dataset collects data from a wearable accelerometer mounted on the chest. The dataset is intended for Activity Recognition research purposes.	Univariate, Sequential, Time-Series	Classification, Clustering	Real			2014	Other	http://archive.ics.uci.edu/ml/datasets/Activity+Recognition+from+Single+Chest-Mounted+Accelerometer
279	Leaf	This dataset consists in a collection of shape and texture features extracted from digital images of leaf specimens originating from a total of 40 different plant species.	Multivariate	Classification	Real	340	16	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Leaf
280	Dresses_Attribute_Sales	This dataset contain Attributes of dresses and their recommendations according to their sales.Sales are monitor on the basis of alternate days.	Text	Classification, Clustering		501	13	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Dresses_Attribute_Sales
281	Tamilnadu Electricity Board Hourly Readings	This data can be effectively produced the result to fewer parameter of the Load profile can be reduced in the Database	Multivariate	Classification, Regression, Clustering	Real	45781	5	2013	Life	http://archive.ics.uci.edu/ml/datasets/Tamilnadu+Electricity+Board+Hourly+Readings
282	Airfoil Self-Noise	NASA data set, obtained from a series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections conducted in an anechoic wind tunnel.	Multivariate	Regression	Real	1503	6	2014	Physical	http://archive.ics.uci.edu/ml/datasets/Airfoil+Self-Noise
283	Wholesale customers	The data set refers to clients of a wholesale distributor. It includes the annual spending in monetary units (m.u.) on diverse product categories	Multivariate	Classification, Clustering	Integer	440	8	2014	Business	http://archive.ics.uci.edu/ml/datasets/Wholesale+customers
284	Twitter Data set for Arabic Sentiment Analysis	This problem of Sentiment Analysis (SA) has been studied well on the English language but not Arabic one. Two main approaches have been devised: corpus-based and lexicon-based.	Text	Classification		2000	2	2014	Social	http://archive.ics.uci.edu/ml/datasets/Twitter+Data+set+for+Arabic+Sentiment+Analysis
285	Combined Cycle Power Plant	The dataset contains 9568 data points collected from a Combined Cycle Power Plant over 6 years (2006-2011), when the plant was set to work with full load.	Multivariate	Regression	Real	9568	4	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Combined+Cycle+Power+Plant
286	Urban Land Cover	Classification of urban land cover using high resolution aerial imagery. Intended to assist sustainable urban planning efforts.	Multivariate	Classification		168	148	2014	Physical	http://archive.ics.uci.edu/ml/datasets/Urban+Land+Cover
287	Diabetes 130-US hospitals for years 1999-2008	This data has been prepared to analyze factors related to readmission as well as other   outcomes pertaining to patients with diabetes.	Multivariate	Classification, Clustering	Integer	100000	55	2014	Life	http://archive.ics.uci.edu/ml/datasets/Diabetes+130-US+hospitals+for+years+1999-2008
288	Bach Choral Harmony	The data set is composed of 60 chorales (5665 events) by J.S. Bach (1675-1750). Each event of each chorale is labelled using 1 among 101 chord labels and described through 14 features.	Sequential	Classification		5665	17	2014	Other	http://archive.ics.uci.edu/ml/datasets/Bach+Choral+Harmony
289	StoneFlakes	Stone flakes are waste products of the stone tool production in the prehistoric era. The variables are means of geometric and stylistic features of the flakes contained in different inventories.	Multivariate	Classification, Clustering, Causal-Discovery	Real	79	8	2014	Other	http://archive.ics.uci.edu/ml/datasets/StoneFlakes
290	Tennis Major Tournament Match Statistics	This is a collection of 8 files containing the match statistics for both women and men at the four major tennis tournaments of the year 2013. Each file has 42 columns and a minimum of 76 rows.	Multivariate	Classification, Regression, Clustering	Integer, Real	127	42	2014	Other	http://archive.ics.uci.edu/ml/datasets/Tennis+Major+Tournament+Match+Statistics
291	Parkinson Speech Dataset with  Multiple Types of Sound Recordings	The training data belongs to 20 Parkinson's Disease (PD) patients and 20 healthy subjects. From all subjects, multiple types of sound recordings (26) are taken.	Multivariate	Classification, Regression	Integer, Real	1040	26	2014	Life	http://archive.ics.uci.edu/ml/datasets/Parkinson+Speech+Dataset+with++Multiple+Types+of+Sound+Recordings
292	Gesture Phase Segmentation	The dataset is composed by features extracted from 7 videos with people gesticulating, aiming at studying Gesture Phase Segmentation. It contains 50 attributes divided into two files for each video.	Multivariate, Sequential, Time-Series	Classification, Clustering	Real	9900	50	2014	Other	http://archive.ics.uci.edu/ml/datasets/Gesture+Phase+Segmentation
293	Perfume Data	This data consists of odors of 20 different perfumes. Data was obtained by using a handheld odor meter (OMX-GR sensor) per second for 28 seconds period.	Univariate, Domain-Theory	Classification, Clustering	Integer	560	2	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Perfume+Data
294	BlogFeedback	Instances in this dataset contain features extracted from blog posts. The task associated with the data is to predict how many comments the post will receive.	Multivariate	Regression	Integer, Real	60021	281	2014	Social	http://archive.ics.uci.edu/ml/datasets/BlogFeedback
295	REALDISP Activity Recognition Dataset	The REALDISP dataset is devised to evaluate techniques dealing with the effects of sensor displacement in wearable activity recognition as well as to benchmark general activity recognition algorithms	Multivariate, Time-Series	Classification	Real	1419	120	2014	Computer	http://archive.ics.uci.edu/ml/datasets/REALDISP+Activity+Recognition+Dataset
296	Newspaper and magazine images segmentation dataset	Dataset is well suited for segmentation tasks. It contains 101 scanned pages from different newspapers and magazines in Russian with ground truth pixel-based masks.		Classification		101		2014	Computer	http://archive.ics.uci.edu/ml/datasets/Newspaper+and+magazine+images+segmentation+dataset
297	AAAI 2014 Accepted Papers	This data set compromises the metadata for the 2014 AAAI conference's accepted papers, including paper titles, authors, abstracts, and keywords of varying granularity.	Multivariate	Clustering		399	6	2014	Computer	http://archive.ics.uci.edu/ml/datasets/AAAI+2014+Accepted+Papers
298	Gas sensor array under flow modulation	The data set contains 58 time series acquired from 16 chemical sensors under gas flow modulation conditions. The sensors were exposed to different gaseous binary mixtures of acetone and ethanol.	Multivariate, Time-Series	Classification, Regression	Real	58	120432	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+flow+modulation
299	Gas sensor array exposed to turbulent gas mixtures	A chemical detection platform composed of 8 chemoresistive gas sensors was exposed to turbulent gas mixtures generated naturally in a wind tunnel. The acquired time series of the sensors are provided.	Multivariate, Time-Series	Classification, Regression	Real	180	150000	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+exposed+to+turbulent+gas+mixtures
300	UJIIndoorLoc	The UJIIndoorLoc is a Multi-Building Multi-Floor indoor localization database to test Indoor Positioning System that rely on WLAN/WiFi fingerprint.	Multivariate	Classification, Regression	Integer, Real	21048	529	2014	Computer	http://archive.ics.uci.edu/ml/datasets/UJIIndoorLoc
301	Sentence Classification	Contains sentences from the abstract and introduction of 30 articles annotated with a modified Argumentative Zones annotation scheme. These articles come from biology, machine learning and psychology.	Text	Classification	Integer			2014	Other	http://archive.ics.uci.edu/ml/datasets/Sentence+Classification
302	Dow Jones Index	This dataset contains weekly data for the Dow Jones Industrial Index.  It has been used in computational investing research.	Time-Series	Classification, Clustering	Integer, Real	750	16	2014	Business	http://archive.ics.uci.edu/ml/datasets/Dow+Jones+Index
303	sEMG for Basic Hand movements	The âsEMG for Basic Hand movementsâ includes 2 databases of surface electromyographic signals of 6 hand movements using Delsys' EMG System. Healthy subjects conducted six daily life grasps.	Time-Series	Classification	Real	3000	2500	2014	Life	http://archive.ics.uci.edu/ml/datasets/sEMG+for+Basic+Hand+movements
304	AAAI 2013 Accepted Papers	This data set compromises the metadata for the 2013 AAAI conference's accepted papers (main track only), including paper titles, abstracts, and keywords of varying granularity.	Multivariate	Clustering		150	5	2014	Computer	http://archive.ics.uci.edu/ml/datasets/AAAI+2013+Accepted+Papers
305	Geographical Original of Music	Instances in this dataset contain audio features extracted from 1059 wave files. The task associated with the data is to predict the geographical origin of music.	Multivariate	Classification, Regression	Real	1059	68	2014	Other	http://archive.ics.uci.edu/ml/datasets/Geographical+Original+of+Music
306	Condition Based Maintenance of Naval Propulsion Plants	Data have been generated from a sophisticated simulator of a Gas Turbines (GT), mounted on a Frigate characterized by a COmbined Diesel eLectric And Gas (CODLAG) propulsion plant type.	Multivariate	Regression	Real	11934	16	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Condition+Based+Maintenance+of+Naval+Propulsion+Plants
307	Grammatical Facial Expressions	This dataset supports the development of models that make possible to interpret Grammatical Facial Expressions from Brazilian Sign Language (Libras).	Multivariate, Sequential	Classification, Clustering	Real	27965	100	2014	Computer	http://archive.ics.uci.edu/ml/datasets/Grammatical+Facial+Expressions
308	NoisyOffice	Corpus intended to do cleaning (or binarization) and enhancement of noisy grayscale printed text images using supervised learning methods. Noisy images and their corresponding ground truth provided.	Multivariate	Classification, Regression	Real	216	216	2015	Computer	http://archive.ics.uci.edu/ml/datasets/NoisyOffice
309	MHEALTH Dataset	The MHEALTH (Mobile Health) dataset is devised to benchmark techniques dealing with human behavior analysis based on multimodal body sensing.	Multivariate, Time-Series	Classification	Real	120	23	2014	Computer	http://archive.ics.uci.edu/ml/datasets/MHEALTH+Dataset
310	Student Performance	Predict student performance in secondary education (high school).	Multivariate	Classification, Regression	Integer	649	33	2014	Social	http://archive.ics.uci.edu/ml/datasets/Student+Performance
311	ElectricityLoadDiagrams20112014	This data set contains electricity consumption of 370 points/clients.	Time-Series	Regression, Clustering	Real	370	140256	2015	Computer	http://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014
312	Gas sensor array under dynamic gas mixtures	The data set contains the recordings of 16 chemical sensors exposed to two dynamic gas mixtures at varying concentrations. For each mixture, signals were acquired continuously during 12 hours.	Multivariate, Time-Series	Classification, Regression	Real	4178504	19	2015	Computer	http://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+dynamic+gas+mixtures
313	microblogPCU	MicroblogPCU data is crawled from sina weibo microblog[http://weibo.com/]. This data can be used to study machine learning methods  as well as do some social network research.	Multivariate, Univariate, Sequential, Text	Classification, Causal-Discovery	Integer, Real	221579	20	2015	Computer	http://archive.ics.uci.edu/ml/datasets/microblogPCU
314	Firm-Teacher_Clave-Direction_Classification	The data are binary attack-point vectors and their clave-direction class(es) according to the partido-alto-based paradigm.	Multivariate	Classification		10800	20	2015	Other	http://archive.ics.uci.edu/ml/datasets/Firm-Teacher_Clave-Direction_Classification
315	Dataset for Sensorless Drive Diagnosis	Features are extracted from motor current. The motor has intact and defective components. This results in 11 different classes with different conditions.	Multivariate	Classification	Real	58509	49	2015	Computer	http://archive.ics.uci.edu/ml/datasets/Dataset+for+Sensorless+Drive+Diagnosis
316	TV News Channel Commercial Detection Dataset	TV Commercials data set consists of  standard audio-visual features of video shots extracted from 150 hours of TV news broadcast of 3 Indian and 2 international news channels ( 30 Hours each).	Multivariate	Classification, Clustering	Real	129685	12	2015	Computer	http://archive.ics.uci.edu/ml/datasets/TV+News+Channel+Commercial+Detection+Dataset
317	Phishing Websites	This dataset collected mainly from: PhishTank archive, MillerSmiles archive, Googleâs searching operators.		Classification	Integer	2456	30	2015	Computer Security	http://archive.ics.uci.edu/ml/datasets/Phishing+Websites
318	Greenhouse Gas Observing Network	Design an observing network to monitor emissions of a greenhouse gas (GHG) in California given time series of synthetic observations and tracers from weather model simulations.	Multivariate, Time-Series	Regression	Real	2921	5232	2015	Physical	http://archive.ics.uci.edu/ml/datasets/Greenhouse+Gas+Observing+Network
319	Diabetic Retinopathy Debrecen Data Set	This dataset contains features extracted from the Messidor image set to predict whether an image contains signs of diabetic retinopathy or not.	Multivariate	Classification	Integer, Real	1151	20	2014	Life	http://archive.ics.uci.edu/ml/datasets/Diabetic+Retinopathy+Debrecen+Data+Set
320	HIV-1 protease cleavage	The data contains lists of octamers (8 amino acids) and a flag (-1 or 1) depending on whether HIV-1 protease will cleave in the central position (between amino acids 4 and 5).	Multivariate	Classification	Categorical	6590	1	2015	Life	http://archive.ics.uci.edu/ml/datasets/HIV-1+protease+cleavage
321	Sentiment Labelled Sentences	The dataset contains sentences labelled with positive or negative sentiment.	Text	Classification		3000		2015	Other	http://archive.ics.uci.edu/ml/datasets/Sentiment+Labelled+Sentences
322	Online News Popularity	This dataset summarizes a heterogeneous set of features about articles published by Mashable in a period of two years. The goal is to predict the number of shares in social networks (popularity).	Multivariate	Classification, Regression	Integer, Real	39797	61	2015	Business	http://archive.ics.uci.edu/ml/datasets/Online+News+Popularity
323	Forest type mapping	Multi-temporal remote sensing data of a forested area in Japan. The goal is to map different forest types using spectral data.	Multivariate	Classification		326	27	2015	Life	http://archive.ics.uci.edu/ml/datasets/Forest+type+mapping
324	wiki4HE	Survey of faculty members from two Spanish universities on teaching uses of Wikipedia	Multivariate	Regression, Clustering, Causal-Discovery		913	53	2015	Social	http://archive.ics.uci.edu/ml/datasets/wiki4HE
325	Online Video Characteristics and Transcoding Time Dataset	The dataset contains a million randomly sampled video instances listing 10 fundamental video characteristics along with the YouTube video ID.	Multivariate	Regression	Integer, Real	168286	11	2015	Computer	http://archive.ics.uci.edu/ml/datasets/Online+Video+Characteristics+and+Transcoding+Time+Dataset
326	Chronic_Kidney_Disease	This dataset can be used to predict the chronic kidney disease and it can be collected from the hospital nearly 2 months of period.	Multivariate	Classification	Real	400	25	2015	Other	http://archive.ics.uci.edu/ml/datasets/Chronic_Kidney_Disease
327	Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014	The data here are the ZZAlphaÂ® machine learning recommendations made for various US traded stock portfolios the morning of each day during the 3 year period Jan 1, 2012 - Dec 31, 2014.	Sequential, Time-Series	Classification	Real	314080	0	2015	Business	http://archive.ics.uci.edu/ml/datasets/Machine+Learning+based+ZZAlpha+Ltd.+Stock+Recommendations+2012-2014
328	Folio	20 photos of leaves for each of 32 different species.	Multivariate	Classification, Clustering		637	20	2015	Other	http://archive.ics.uci.edu/ml/datasets/Folio
329	Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015	An accurate dataset describing trajectories performed by all the 442 taxis running in the city of Porto, in Portugal.	Multivariate, Sequential, Time-Series, Domain-Theory	Clustering, Causal-Discovery	Real	1710671	9	2015	Computer	http://archive.ics.uci.edu/ml/datasets/Taxi+Service+Trajectory+-+Prediction+Challenge%2C+ECML+PKDD+2015
330	Cuff-Less Blood Pressure Estimation	This Data set provides preprocessed and cleaned vital signals which can be used in designing algorithms for cuff-less estimation of the blood pressure.	Multivariate	Classification, Regression	Real	12000	3	2015	Life	http://archive.ics.uci.edu/ml/datasets/Cuff-Less+Blood+Pressure+Estimation
331	Smartphone-Based Recognition of Human Activities and Postural Transitions	Activity recognition data set built from the recordings of 30 subjects performing basic activities and postural transitions while carrying a waist-mounted smartphone with embedded inertial sensors.	Multivariate, Time-Series	Classification	Real	10929	561	2015	Life	http://archive.ics.uci.edu/ml/datasets/Smartphone-Based+Recognition+of+Human+Activities+and+Postural+Transitions
332	Mice Protein Expression	Expression levels of 77 proteins measured in the cerebral cortex of 8 classes of control and Down syndrome mice exposed to context fear conditioning, a task used to assess associative learning.	Multivariate	Classification, Clustering	Real	1080	82	2015	Life	http://archive.ics.uci.edu/ml/datasets/Mice+Protein+Expression
333	UJIIndoorLoc-Mag	The UJIIndoorLoc-Mag is an indoor localization database to test Indoor Positioning System that rely on Earth's magnetic field variations.	Multivariate, Sequential, Time-Series	Classification, Regression, Clustering	Integer, Real	40000	13	2015	Computer	http://archive.ics.uci.edu/ml/datasets/UJIIndoorLoc-Mag
334	Heterogeneity Activity Recognition	The Heterogeneity Human Activity Recognition (HHAR) dataset from Smartphones and Smartwatches is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc.) in real-world contexts; specifically, the dataset is gathered with a variety of different device models and use-scenarios, in order to reflect sensing heterogeneities to be expected in real deployments.	Multivariate, Time-Series	Classification, Clustering	Real	43930257	16	2015	Computer	http://archive.ics.uci.edu/ml/datasets/Heterogeneity+Activity+Recognition
335	Educational Process Mining (EPM): A Learning Analytics Data Set	Educational Process Mining data set is built from the recordings of 115 subjects' activities through a logging application while learning with an educational simulator.	Multivariate, Sequential, Time-Series	Classification, Regression, Clustering	Integer	230318	13	2015	Computer	http://archive.ics.uci.edu/ml/datasets/Educational+Process+Mining+%28EPM%29%3A+A+Learning+Analytics+Data+Set
336	HEPMASS	The search for exotic particles requires sorting through a large number of collisions to find the events of interest. This data set challenges one to detect a new particle of unknown mass.	Multivariate	Classification	Real	10500000	28	2016	Physical	http://archive.ics.uci.edu/ml/datasets/HEPMASS
337	Indoor User Movement Prediction from RSS data	This dataset contains temporal data from a Wireless Sensor Network deployed in real-world office environments. The task is intended as real-life benchmark in the area of Ambient Assisted Living.	Multivariate, Sequential, Time-Series	Classification	Real	13197	4	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Indoor+User+Movement+Prediction+from+RSS+data
338	Open University Learning Analytics dataset	Open University Learning Analytics Dataset contains data about courses, students and their interactions with Virtual Learning Environment for seven selected courses and more than 30000 students.	Multivariate, Sequential, Time-Series	Classification, Regression, Clustering	Integer			2015	Computer	http://archive.ics.uci.edu/ml/datasets/Open+University+Learning+Analytics+dataset
339	default of credit card clients	This research aimed at the case of customersâ default payments in Taiwan and compares the predictive accuracy of probability of default among six data mining methods.	Multivariate	Classification	Integer, Real	30000	24	2016	Business	http://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients
340	Mesotheliomaâs disease data set	Mesotheliomaâs disease data set were prepared at Dicle University Faculty of Medicine in Turkey. Three hundred and twenty-four Mesothelioma patient data. In the dataset, all samples have 34 features.	Multivariate	Classification	Real	324	34	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Mesothelioma%E2%80%99s+disease+data+set+
341	Online Retail	This is a transnational data set which contains all the transactions occurring between 01/12/2010 and 09/12/2011 for a UK-based and registered non-store online retail.	Multivariate, Sequential, Time-Series	Classification, Clustering	Integer, Real	541909	8	2015	Business	http://archive.ics.uci.edu/ml/datasets/Online+Retail
342	SIFT10M	In SIFT10M, each data point is a SIFT feature which is extracted from Caltech-256 by the open source VLFeat library. The corresponding patches of the SIFT features are provided.	Multivariate	Causal-Discovery	Integer	11164866	128	2016	Computer	http://archive.ics.uci.edu/ml/datasets/SIFT10M
343	GPS Trajectories	The dataset has been feed by Android app called Go!Track. It is available at Goolge Play Store(https://play.google.com/store/apps/details?id=com.go.router).	Multivariate	Classification, Regression	Real	163	15	2016	Computer	http://archive.ics.uci.edu/ml/datasets/GPS+Trajectories
344	Detect Malacious Executable(AntiVirus)	I extract features from malacious and non-malacious and create and training dataset to teach svm classifier.Dataset made of unknown executable to detect if it is virus or normal safe executable.	Multivariate	Classification	Real	373	513	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Detect+Malacious+Executable%28AntiVirus%29
345	STUDENT ALCOHOL CONSUMPTION	The result also provides the correlation between alcohol usage and the social, gender and study time attributes for each student.	Multivariate	Classification	Integer	1044	32	2016	Social	http://archive.ics.uci.edu/ml/datasets/STUDENT+ALCOHOL+CONSUMPTION
346	Occupancy Detection	Experimental data used for binary classification (room occupancy) from Temperature,Humidity,Light and CO2. Ground-truth occupancy was obtained from time stamped pictures that were taken every minute.	Multivariate, Time-Series	Classification	Real	20560	7	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Occupancy+Detection+
347	Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinsonâs Disease	Handwriting database consists of 25 PWP(People with Parkinson) and 15 healthy individuals.Three types of recordings (Static Spiral Test, Dynamic Spiral Test and Stability Test) are taken.	Multivariate	Classification, Regression, Clustering	Real	40	7	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Improved+Spiral+Test+Using+Digitized+Graphics+Tablet+for+Monitoring+Parkinson%E2%80%99s+Disease
348	News Aggregator	References to news pages collected from an web aggregator in the period from 10-March-2014 to 10-August-2014. The resources are grouped into clusters that represent pages discussing the same story.	Multivariate	Classification, Clustering		422937	5	2016	Other	http://archive.ics.uci.edu/ml/datasets/News+Aggregator
349	Air Quality	Contains the responses of a gas multisensor device deployed on the field in an Italian city. Hourly responses averages are recorded along with gas concentrations references from a certified analyzer.	Multivariate, Time-Series	Regression	Real	9358	15	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Air+Quality
